,data_points_count,price_close,sma_status,sma_20,sma_20_ratio,sma_20_slope,sma_20_slope_status,sma_50,sma_50_ratio,sma_50_slope,sma_50_slope_status,sma_200,sma_200_ratio,rsi_7,rsi_7_scale,rsi_13,rsi_13_scale,bb_lband,bb_hband,bb_width,bb_width_pct,to_ccy,high_pct,low_pct,high_low_ratio,btc_rsq,eth_rsq,close_time,exch_volume
ADABNB,200.0,0.0034599999999999999679423101639486048952676355838775634765625,-1.0,0.003458599999999998307609327952150124474428594112396240234375,1.000404788064535263117458439,1.5e-07,1.0,0.0035405799999999980343101668722738395445048809051513671875,0.9772410170085132630515457391,-5.64e-06,-1.0,0.00360654000000000009296119429791360744275152683258056640625,0.9593682587743376972827948828,51.6646604845,3.0,46.7021207655,3.0,0.0034027273,0.0035144727,3.2309438779,0.5125284771,BNB,0.8517971442639094720994940160,1.065270935960591116890149466,1.250615763546797910997936379,0.6510939735,0.5830604809,"09/30/2020, 23:59:59",22679.0
ADABTC,200.0,0.000009399999999999999786390487976905916411851649172604084014892578125,1.0,0.000009239999999999994542026517108102012798553914763033390045166015625,1.017316017316017893817568637,1.25e-08,1.0,0.000009321600000000004060678356065938743313381564803421497344970703125,1.008410573292138226437467707,-1.8e-09,-1.0,0.000008723299999999996592252131388800506783809396438300609588623046875,1.077573853931425430569909551,67.0660667517,4.0,59.6966046396,3.0,9.0144e-06,9.4656e-06,4.8823799757,0.8546634511,BTC,0.9572301425661915068116939431,1.270270270270270189836170093,1.327027027027026858734140502,0.855849089,0.8782062993,"09/30/2020, 23:59:59",2214038.0
ADADOWNUSDT,200.0,8.4000000000000003552713678800500929355621337890625,-1.0,8.80590000000000117097442853264510631561279296875,0.9539059039961842898820049142,-0.02835,-1.0,8.61222000000000065256244852207601070404052734375,0.9753582699931027910096568628,0.0089,1.0,10.8500400000000016831336324685253202915191650390625,0.7741906942278552938242598627,31.1720316334,2.0,39.5481510081,3.0,8.233067075,9.378732925,13.0102073617,0.1457082142,USDT,0.4973062577704103505770879858,1.134828424750067576609833843,2.281950824101593884056138185,-0.8989504577,-0.9174129425,"09/30/2020, 23:59:59",200.08
ADAUPUSDT,200.0,3.8269999999999999573674358543939888477325439453125,1.0,3.617250000000002074784788419492542743682861328125,1.057986039118113971186424917,0.01335,1.0,3.706759999999998722586269650491885840892791748046875,1.032438032135881814905187776,-0.00286,-1.0,3.2161349999999995219468473806045949459075927734375,1.189937611449768285914883059,69.6141973351,4.0,60.9239478118,3.0,3.363473031,3.871026969,14.0314862954,0.913256571,USDT,0.8941588785046728352801640996,1.951555328913819382101536791,2.182559918408975054553152607,0.8887506537,0.8983805099,"09/30/2020, 23:59:59",1805.09
ADAUSDT,200.0,0.10136000000000000564881474929279647767543792724609375,1.0,0.09914750000000001339817146117638912983238697052001953125,1.022315237398824901804482324,0.00015,1.0,0.10008059999999989464480876222296501509845256805419921875,1.012783696340750478622577800,-3.66e-05,-1.0,0.09307184999999996988240269502057344652712345123291015625,1.089051093321987673484700503,67.4779384086,4.0,59.6921761257,3.0,0.0963332088,0.1019617912,5.6769786578,0.8930829891,USDT,0.9498641177021835471398867020,1.343406229290921158160111883,1.414314115308151024619686377,0.8914302029,0.9042375173,"09/30/2020, 23:59:59",11403906.5
ADXBTC,200.0,0.0000180999999999999994985781792689039093602332286536693572998046875,1.0,0.0000184869999999999942686366993793711799298762343823909759521484375,0.9790663709633799486105504776,-5.45e-08,-1.0,0.0000180018000000000010147639672997144089094945229589939117431640625,1.005455010054550016013879963,7.4e-09,1.0,0.0000164716499999999966999224276786861764776404015719890594482421875,1.098857734349625151390051608,33.7799953338,2.0,43.5600158984,3.0,1.79145e-05,1.90595e-05,6.1936146321,0.1620127296,BTC,0.9000497265042267776579140325,1.339748334566987439189653439,1.488527017024426334794173368,0.720650488,0.7852564021,"09/30/2020, 23:59:59",410301.0
AEBTC,200.0,0.000011369999999999999559601414345078040923908702097833156585693359375,-1.0,0.000011151000000000000470542875496970935955687309615314006805419921875,1.019639494215765319685885998,1.95e-08,1.0,0.000011137200000000000704313170285519873914381605572998523712158203125,1.020902919943971450684736042,2.2e-09,1.0,0.0000111610999999999972059384900635592430262477137148380279541015625,1.018716793147629033514509825,59.9154067936,3.0,61.8244540502,4.0,1.06292e-05,1.16728e-05,9.3588149627,0.7098502246,BTC,0.9482902418682234512525924220,1.074669187145557579072984801,1.133270321361058601739582797,0.5790646924,0.6029763867,"09/30/2020, 23:59:59",135998.0
AGIBTC,200.0,0.0000045299999999999998267726820933010145608932361938059329986572265625,-1.0,0.0000047605000000000004150885364595513493668477167375385761260986328125,0.9515807163113117176310125484,-4.75e-08,-1.0,0.0000050469999999999967402945603989206091455343994311988353729248046875,0.8975629086586096200838870283,-1.54e-08,-1.0,0.000005156899999999999703007187712433534443334792740643024444580078125,0.8784347185324516836978571547,41.4656470645,3.0,36.0474582348,2.0,4.1168e-06,5.4042e-06,27.044334268,0.3209632997,BTC,0.7549999999999999520014663223,1.143939393939393837306635145,1.515151515151515112624749896,0.4700397446,0.4778870428,"09/30/2020, 23:59:59",621586.0
AIONBNB,200.0,0.0028509999999999998017419233775626707938499748706817626953125,-1.0,0.002950300000000000318067794324861097265966236591339111328125,0.9663424058570313169438788544,-8.2e-06,-1.0,0.0030475999999999979668541261190739533049054443836212158203125,0.9354902218138868958295077813,-8.38e-06,-1.0,0.0032481449999999995915944683844145401963032782077789306640625,0.8777317515073988877382093373,19.1821303764,1.0,26.8856931587,2.0,0.0028766275,0.0030239725,4.9942391364,-0.1739283647,BNB,0.7049950544015825683164542468,1,1.418449666783584753752654431,-0.0433827609,-0.1221784337,"09/30/2020, 23:59:59",548.0
AIONBTC,200.0,0.000007770000000000000146024685399037679189859773032367229461669921875,1.0,0.000007870500000000003673074865095937724390751100145280361175537109375,0.9872307985515528263581796825,-7.5e-09,-1.0,0.0000080123999999999980284846878841875650323345325887203216552734375,0.9697468923169090482122126302,-1.06e-08,-1.0,0.000007837750000000003012547676595200840665711439214646816253662109375,0.9913559376096452629284755031,28.6489446708,2.0,34.7455687723,2.0,7.769e-06,7.972e-06,2.5788447719,0.0048480006,BTC,0.7928571428571429250536619519,1.079166666666666735782202293,1.361111111111111081700244887,0.5517276024,0.5659495166,"09/30/2020, 23:59:59",586672.0
